,Tickers
0,^MERV
1,^ATX
2,^DJU
3,^AORD
4,^AEX
5,RTS.RS
6,^XAX
7,399107.SZ
8,^DJA
9,^OSEAX
10,^NWX
11,^TWOII
12,^NQASPA8000LMAUDN
13,^HUI
14,^FTAS
15,^FTAI
16,^DRG
17,^AXJO
18,^XBD
19,^BTK
20,^XMI
21,^XABQ
22,^REIT
23,^DAATR
24,^ABAQ
25,^VXAPL
26,^SBF250
27,^OSTI
28,^OMXNORDICEURPI
29,^NQZALMZARN
30,^NQZALMCAD
31,^NQNALMN
32,^NQNALM
33,^NQNA8300LM
34,^NQNA3000LMN
35,^NQNA2700LMN
36,^NQNA1000LMN
37,^NQDXUSMLTCGN
38,^NQDXEU
39,^NQDXEMSC
40,^NQDMASPAXJPSCAUD
41,^NQDMASPALMGBPN
42,^NQAULMN
43,^NQATLMCADN
44,^NQASPALMGBPN
45,^NQASPA8000LMEURN
46,^NQASPA8000LM
47,^NQASPA3500LMGBP
48,^NQASPA0001LMEUR
49,^GRNASIA
50,^FIRSTNORTHDKK
51,^DRBSN
52,^DRBS
53,^DRBGT
54,^DRBG
55,^CSE
56,^AXPJ
57,^AXHJ
58,^AXGD
59,^AXFJ
60,^AMZ
61,TMPS
62,SDR15Y.SW
63,PAX.PA
64,INAX.DE
65,G7X4.DE
66,ALL.PS
67,5FUA.DE
68,3BMO.DE
69,DH6W.DE
70,D8TW.DE
71,^NQASIA6000LMJPYT
72,^NQDMASIA1700JPYN
73,^NQEMMEA2000AUDT
74,^NQASPA3500LMT
75,^NQEMASIA9000EUR
76,^NQDMASIA6000LM
77,^NQASIA4000
78,^NQAU7000GBP
79,4Q5W.DE
80,^SPAENAUP
81,SBFR2T.SW
82,^NQDMASPA5500GBPN
83,^NQDMXNASCAUDT
84,^NQLA5000LM
85,ST13Y.SW
86,^NQDMASPA4000JPY
87,SG71P.SW
88,^NQDMEU3300LMEUR
89,^NQEMMEA8500AUD
90,4MW2.DE
91,^NQNA8500T
92,^SP500-25102010
93,SFR15Y.SW
94,^NQTW0001AUDT
95,NZREG.NZ
96,LZPL.DE
97,^NQMEA8500LMAUDN
98,^NQNA3000LMT
99,AW12.FGI
100,^NQASPA1300T
101,^NQDMASPA3000EURN
102,DK71.DE
103,SFA05D.SW
104,^NQAUSCAUDT
105,^BKCSW
106,^NQMY1000AUDN
107,^NQASIA0001LMAUDN
108,5EDJ.DE
109,^NQHUAUDN
110,^NQEMASIASCEURT
111,^NQHK5000AUD
112,^NQDMASPASCAUDN
113,^NQASPAXJPJPYN
114,N8WZ.DE
115,4MU3.DE
116,^NQASPA5300LMJPYN
117,^INDIA15
118,D4OF.DE
119,^NQAU5000CADT
120,^NQIN8000AUDT
121,^BCOMAL3
122,SAN71Y.SW
123,STA05P.SW
124,^NQAU9000N
125,^NQNA2300N
126,^NQEMMEA4000AUDN
127,^NQASPA3000AUDT
128,^NQZASCZARN
129,^NQDMASPA7000N
130,SAA10Y.SW
131,SBIGD7.SW
132,^NQDMASIA8600LMT
133,SBIGT1.SW
134,^NQHK3000AUDN
135,UDYQ.DE
136,4NAN.DE
137,^NQCHLCAUD
138,3BSF.DE
139,^NQEMEU3300CAD
140,SFC12T.SW
141,^NQDMASPA2300LMN
142,^NQASPA2300AUD
143,^NQDMASIA1700LMN
144,^NQPLLMAUDT
145,^NQZA8000LMJPYN
146,^DJAU
147,^SPAU23
148,^NQDMASPASCCADT
149,^NQAT8000N
150,^NQZASCGBPN
151,^DJCIAC
152,^NQDMASPA8300N
153,3BQ6.DE
154,^DJCIAWT
155,^SP500-30202010
156,^NQEMASIA5700CADN
157,D8TZ.DE
158,^NQEMASIA4000T
159,^NQEU3300GBP
160,^NQID3000AUDN
161,^NQEMASIA2300N
162,^NQDMMEA8300AUD
163,^NQDMASIA3500EUR
164,^NQLASC
165,^NQPTLMAUDT
166,^NQASIA2000LMGBPT
167,SFA57T.SW
168,^NQASPA3700EURT
169,^NQDMEU9000AUDN
170,^NQZALCZAR
171,^NQDMASIA6000JPYT
172,0JGR.DE
173,^NQASPASCAUD
174,^NQAU8000EURT
175,^NQEMASIA2700EURT
176,^NQEMASIAMCGBPN
177,AW01.FGI
178,^NQJP8300AUD
179,^NQDMASIA9000LM
180,4MYJ.DE
181,^NQASPA1700LMGBPN
182,^NQDMASPA3700AUDN
183,^NQDMASIA1000GBP
184,^NQASPA1000EUR
185,^NQEMASIA2700CADT
186,^NQMEA3500AUDN
187,SFS12D.SW
188,^NQCNMCAUD
189,^NQJP3300LMCADT
190,^DJNAJO
191,SFF55Y.SW
192,^NQEMASIA3500GBP
193,^NQPTSCAUDN
194,ICE9U.PA
195,^NQDMASPA8000GBP
196,^NQNO3000AUDN
197,SD105P.SW
198,^NQZA3000ZAR
199,^NQAU5000CAD
200,^NQTR8000AUD
201,^NQDMASIA9000LMN
202,^NQMEA5700AUDT
203,^NQDMASIA2000EURN
204,^NQAU2000EUR
205,^NQEMEA2700AUDT
206,^NQEMEU8600AUD
207,^NQHK4000AUD
208,^NQDMASIA3500EURN
209,^NQDMEU1000AUDT
210,SD51P.SW
211,^SPADFP1I
212,G30C.NZ
213,SBF34T.SW
214,NLTEC.AS
215,ST35Y.SW
216,SDNAD.SW
217,^NQEMASIA3700T
218,3BPK.DE
219,^NQASPAXJPLMJPYT
220,^NQEMASIA8700LMN
221,^NQTW3000AUDN
222,^NQTR3000AUDT
223,^NQCNAUDT
224,^NQDMASPA1000N
225,^NQES2000AUD
226,^NQNA8500N
227,^NQEMASIA2300LMT
228,SBD12D.SW
229,^NQASPA5000LMGBPN
230,^NQZA3000
231,^NQATMCCADN
232,^NQNA3000
233,4Q88.DE
234,^NQMY7000AUDT
235,^DWCALU
236,AL83.DE
237,DT5Y.DE
238,^NQEMEU5000AUDN
239,^NQJP4000AUDT
240,^NQDMASPA4000EUR
241,^NQSGAUDT
242,SFC14Y.SW
243,ST171Y.SW
244,^NQAULCGBPT
245,SDA15D.SW
246,D1A8.DE
247,^NQDMEU9000AUDT
248,^FIRSTNORTHNOK
249,^NQZASCGBP
250,^NQPHAUD
251,^NQGBAUDT
252,3BLU.DE
253,^NQEMASIA8000EUR
254,4QCE.DE
255,^NQASPA3300EUR
256,4NAR.DE
257,5EDS.DE
258,^NQDMASPA6000T
259,LZS5.DE
260,SFG5D.SW
261,X2D6.DE
262,^UKDATR
