Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 17:02:00+01:00,5957.46,5957.88,5957.46,5957.88,0,0,0
2019-12-18 17:03:00+01:00,5958.17,5958.17,5958.17,5958.17,0,0,0
2019-12-18 17:04:00+01:00,5957.67,5958.22,5957.45,5958.22,0,0,0
2019-12-18 17:05:00+01:00,5958.54,5958.54,5958.54,5958.54,0,0,0
2019-12-18 17:06:00+01:00,5958.68,5958.68,5958.21,5958.21,0,0,0
2019-12-18 17:07:00+01:00,5957.33,5957.33,5957.07,5957.07,0,0,0
2019-12-18 17:08:00+01:00,5955.97,5955.97,5955.96,5955.96,0,0,0
2019-12-18 17:09:00+01:00,5954.55,5954.55,5954.55,5954.55,0,0,0
2019-12-18 17:10:00+01:00,5954.77,5955.3,5954.77,5955.3,0,0,0
2019-12-18 17:11:00+01:00,5954.02,5954.3,5954.02,5954.3,0,0,0
2019-12-18 17:12:00+01:00,5954.06,5954.06,5953.36,5953.36,0,0,0
2019-12-18 17:13:00+01:00,5953.5,5953.97,5953.5,5953.97,0,0,0
2019-12-18 17:14:00+01:00,5953.9,5953.9,5953.9,5953.9,0,0,0
2019-12-18 17:15:00+01:00,5955.14,5955.7,5955.14,5955.7,0,0,0
2019-12-18 17:16:00+01:00,5955.14,5956.22,5955.14,5956.22,0,0,0
2019-12-18 17:17:00+01:00,5957.52,5957.52,5957.52,5957.52,0,0,0
2019-12-18 17:18:00+01:00,5955.97,5956.27,5955.97,5956.27,0,0,0
2019-12-18 17:19:00+01:00,5956.89,5956.89,5956.86,5956.86,0,0,0
2019-12-18 17:20:00+01:00,5957.24,5957.24,5957.07,5957.07,0,0,0
2019-12-18 17:21:00+01:00,5957.41,5957.85,5957.41,5957.85,0,0,0
2019-12-18 17:22:00+01:00,5957.66,5957.66,5957.47,5957.47,0,0,0
2019-12-18 17:23:00+01:00,5958.36,5958.36,5958.36,5958.36,0,0,0
2019-12-18 17:24:00+01:00,5958.47,5958.64,5958.47,5958.64,0,0,0
2019-12-18 17:25:00+01:00,5958.56,5959.11,5958.56,5959.11,0,0,0
2019-12-18 17:26:00+01:00,5958.84,5958.97,5958.84,5958.97,0,0,0
2019-12-18 17:27:00+01:00,5959.39,5959.39,5958.64,5958.64,0,0,0
2019-12-18 17:28:00+01:00,5958.48,5958.48,5958.3,5958.3,0,0,0
2019-12-19 09:00:00+01:00,5955.74,5956.81,5955.74,5956.52,0,0,0
2019-12-19 09:01:00+01:00,5956.97,5959.3,5956.97,5959.3,0,0,0
2019-12-19 09:02:00+01:00,5960.39,5961.77,5960.39,5961.77,0,0,0
2019-12-19 09:03:00+01:00,5962.43,5962.43,5962.43,5962.43,0,0,0
2019-12-19 09:04:00+01:00,5961.76,5961.76,5961.03,5961.03,0,0,0
2019-12-19 09:05:00+01:00,5962.24,5962.57,5962.24,5962.57,0,0,0
2019-12-19 09:06:00+01:00,5962.92,5962.92,5962.88,5962.88,0,0,0
2019-12-19 09:07:00+01:00,5964.16,5964.16,5963.11,5963.11,0,0,0
2019-12-19 09:08:00+01:00,5963.08,5963.27,5963.08,5963.27,0,0,0
2019-12-19 09:09:00+01:00,5963.28,5963.33,5963.28,5963.33,0,0,0
2019-12-19 09:10:00+01:00,5963.68,5964.35,5963.68,5964.35,0,0,0
2019-12-19 09:11:00+01:00,5965.37,5965.37,5965.16,5965.16,0,0,0
2019-12-19 09:12:00+01:00,5965.55,5965.55,5965.33,5965.33,0,0,0
2019-12-19 09:13:00+01:00,5965.72,5965.72,5964.98,5964.98,0,0,0
2019-12-19 09:14:00+01:00,5964.76,5965.03,5964.76,5965.03,0,0,0
2019-12-19 09:15:00+01:00,5967.4,5970.81,5967.4,5970.81,0,0,0
2019-12-19 09:16:00+01:00,5969.55,5969.55,5969.07,5969.07,0,0,0
2019-12-19 09:17:00+01:00,5968.44,5968.44,5967.3,5967.3,0,0,0
2019-12-19 09:18:00+01:00,5966.98,5966.98,5965.79,5965.79,0,0,0
2019-12-19 09:19:00+01:00,5964.8,5964.8,5963.11,5963.11,0,0,0
2019-12-19 09:20:00+01:00,5964.95,5964.95,5964.95,5964.95,0,0,0
2019-12-19 09:21:00+01:00,5965.34,5966.1,5965.34,5966.1,0,0,0
2019-12-19 09:22:00+01:00,5965.91,5966.19,5965.91,5966.19,0,0,0
2019-12-19 09:23:00+01:00,5966.16,5966.16,5965.88,5965.88,0,0,0
2019-12-19 09:24:00+01:00,5966.61,5966.71,5966.61,5966.71,0,0,0
2019-12-19 09:25:00+01:00,5965.66,5965.97,5965.66,5965.97,0,0,0
2019-12-19 09:26:00+01:00,5965.79,5965.79,5965.14,5965.14,0,0,0
2019-12-19 09:27:00+01:00,5964.83,5964.86,5964.83,5964.86,0,0,0
2019-12-19 09:28:00+01:00,5964.96,5964.96,5964.08,5964.08,0,0,0
2019-12-19 09:29:00+01:00,5961.61,5961.61,5960.2,5960.2,0,0,0
2019-12-19 09:30:00+01:00,5955.49,5955.49,5955.49,5955.49,0,0,0
2019-12-19 09:31:00+01:00,5957.19,5957.19,5957.07,5957.07,0,0,0
2019-12-19 09:32:00+01:00,5957.27,5957.27,5956.4,5956.4,0,0,0
2019-12-19 09:33:00+01:00,5956.3,5957.97,5956.3,5957.97,0,0,0
2019-12-19 09:34:00+01:00,5958.82,5958.82,5957.71,5957.71,0,0,0
